,0
778,643616
779,69008
780,917078
781,996492
782,816426
783,421301
784,101928
785,238981
786,978719
787,682378
788,763755
789,919621
790,226921
791,136730
792,347632
793,885168
794,991696
795,201732
796,460216
797,852022
798,194389
799,480834
800,954290
801,300112
802,614089
803,66962
804,594652
805,157892
806,163921
807,26295
808,1001780
809,371713
810,83131
811,371782
812,70412
813,904661
814,431366
815,484800
816,193797
817,1006506
818,496672
819,430340
820,713272
821,297684
822,7302
823,588234
824,261673
825,96978
826,797974
827,202212
828,471170
829,22668
830,839486
831,453033
832,38515
833,265135
834,625008
835,412047
836,702984
837,573724
838,103055
839,881377
840,391152
841,419151
842,861122
843,962965
844,671136
845,167877
846,50846
847,513614
848,755098
849,848092
850,706965
851,610425
852,179634
853,833783
854,622188
855,356285
856,372849
857,727513
858,260404
859,834247
860,186456
861,256530
862,496385
863,593142
864,455480
865,327302
866,657023
867,166476
868,759542
869,354234
870,88194
871,284041
872,510584
873,514627
874,167767
875,409478
876,751279
877,597480
878,563313
879,53486
880,276493
881,605085
882,12630
883,499474
884,64356
885,859351
886,137023
887,216236
888,743027
889,546780
890,700599
891,375595
892,401732
893,26314
894,674482
895,90158
896,17899
897,374876
898,514620
899,648838
900,219115
901,555123
902,785163
903,421928
904,580915
905,957947
906,419280
907,666222
908,796739
909,403898
910,766944
911,317502
912,649365
913,751956
914,85761
915,476897
916,773691
917,968861
918,432014
919,688954
920,369716
921,800013
922,685973
923,558793
924,587895
925,941575
926,1022938
927,552733
928,270209
929,879897
930,48333
931,209061
932,693932
933,623963
934,979357
935,786203
936,385745
937,972909
938,470311
939,56805
940,829550
941,8220
942,242496
943,1008759
944,379633
945,951734
946,735461
947,238618
948,622001
949,901323
950,233228
951,705046
952,149034
953,234850
954,428250
955,165372
956,627520
957,628614
958,603474
959,287441
960,315045
961,513484
962,861836
963,702453
964,710059
965,543239
966,13847
967,765621
968,553942
969,310209
970,867234
971,367276
972,684063
973,197378
974,157962
975,634110
976,589982
977,806599
978,101092
979,19454
980,795055
981,814477
982,924153
983,53026
984,279710
985,763564
986,955770
987,575551
988,52511
989,512839
990,104024
991,130342
992,511928
993,218029
994,576988
995,501268
996,629048
997,983561
998,488467
999,841790
1000,104047
1001,444296
1002,679657
1003,567290
1004,222807
1005,865716
1006,657068
1007,149847
1008,591082
1009,1019630
1010,461560
1011,661602
1012,720145
1013,556922
1014,659134
1015,89556
1016,716507
1017,960490
1018,513626
1019,575019
1020,423403
1021,217637
1022,216263
1023,497955
1024,111336
1025,529527
1026,700121
1027,619675
1028,794859
1029,85389
1030,67752
1031,478765
1032,674589
1033,579907
1034,174552
1035,400809
1036,802723
1037,718976
1038,63483
1039,547574
1040,275532
1041,447031
1042,544126
1043,694672
1044,437988
1045,979355
1046,968186
1047,187133
1048,710268
1049,790090
1050,805033
1051,95324
1052,469990
1053,733825
1054,962599
1055,584678
1056,607675
1057,462284
1058,952044
1059,745651
1060,296682
1061,608656
1062,316591
1063,75561
1064,710793
1065,334300
1066,285165
1067,443829
1068,1011598
1069,923460
1070,927774
1071,299376
1072,776460
1073,930122
1074,12661
1075,523531
1076,440020
1077,284390
1078,550407
1079,245859
1080,787061
1081,153045
1082,288051
1083,827563
1084,180528
1085,107699
1086,862306
1087,207170
1088,813315
1089,241505
1090,827170
1091,983151
1092,367959
1093,321389
1094,368442
1095,882588
1096,395878
1097,910547
1098,766384
1099,877874
1100,960883
1101,781137
1102,786337
1103,923032
1104,292763
1105,615353
1106,434283
1107,235509
1108,758487
1109,15759
1110,425060
1111,192655
1112,419909
1113,164774
1114,750391
1115,133502
1116,730778
1117,772204
1118,25509
1119,250676
1120,682945
1121,233026
1122,278151
1123,601585
1124,413224
1125,126878
1126,664842
1127,451122
1128,535201
1129,402722
1130,828565
1131,641644
1132,212584
1133,524916
1134,886837
1135,546081
1136,275190
1137,233208
1138,975774
1139,483047
1140,952173
1141,881038
1142,473099
1143,945956
1144,644156
1145,518267
1146,871648
1147,618916
1148,468265
1149,818957
1150,486826
1151,78825
1152,301503
1153,666357
1154,91259
1155,213306
1156,300423
1157,247589
1158,277778
1159,360133
1160,257690
1161,570219
1162,751404
1163,889795
1164,307978
1165,158396
1166,16056
1167,49245
1168,730198
1169,793007
1170,434363
1171,572199
1172,311823
1173,853813
1174,876254
1175,25150
1176,497036
1177,76799
1178,192067
1179,228072
1180,137727
1181,407964
1182,949704
1183,639121
1184,13753
1185,176977
1186,400857
1187,221140
1188,907433
1189,129126
1190,430641
1191,413642
1192,29872
1193,585041
1194,993941
1195,468374
1196,193237
1197,862145
1198,263650
1199,36642
1200,791083
1201,87661
1202,639638
1203,187837
1204,806741
1205,803760
1206,664684
1207,719856
1208,638788
1209,269823
1210,533783
1211,84636
1212,136912
1213,922809
1214,77932
1215,871955
1216,840589
1217,428903
1218,754523
1219,673189
1220,833070
1221,96656
1222,533464
1223,109504
1224,351630
1225,730847
1226,761009
1227,449845
1228,558776
1229,681056
1230,963860
1231,36779
1232,334371
1233,394929
1234,42626
1235,138412
1236,352055
1237,192570
1238,638469
1239,13487
1240,318218
1241,150605
1242,763744
1243,830140
1244,3502
1245,498088
1246,84882
1247,718160
1248,17887
1249,970243
1250,491159
1251,517330
1252,539602
1253,414434
1254,534917
1255,455334
1256,412373
1257,668053
1258,740073
1259,543433
1260,786622
1261,790507
1262,842993
1263,64553
1264,296679
1265,607859
1266,915683
1267,365714
1268,383250
1269,339026
1270,28797
1271,387117
1272,1011504
1273,324481
1274,775402
1275,806925
1276,312567
1277,43177
1278,293010
1279,694895
1280,552245
1281,93166
1282,232778
1283,547095
1284,401116
1285,916863
1286,251858
1287,142406
1288,559622
1289,477429
1290,524416
1291,993430
1292,914476
1293,571605
1294,496791
1295,53289
1296,152480
1297,238157
1298,203380
1299,822330
1300,37774
1301,76331
1302,787013
1303,614146
1304,476431
1305,957528
1306,994337
1307,617727
1308,315194
1309,881639
1310,440707
1311,865282
1312,916406
1313,233064
1314,135958
1315,669889
1316,298733
1317,9461
1318,313108
1319,1001006
1320,824028
1321,564907
1322,159084
1323,104794
1324,303059
1325,823856
1326,157913
1327,387756
1328,28984
1329,5625
1330,293697
1331,758611
1332,417493
1333,501796
1334,104997
1335,647208
1336,109672
1337,468594
1338,478408
1339,584613
1340,506744
1341,885130
1342,1009274
1343,941432
1344,693855
1345,539660
1346,725988
1347,465691
1348,230088
1349,519993
1350,36794
1351,758084
1352,783666
1353,134756
1354,390488
1355,641679
1356,372128
1357,52109
1358,283089
1359,338857
1360,747734
1361,459638
1362,224863
1363,74983
1364,349095
1365,36160
1366,266183
1367,844452
1368,914253
1369,776585
1370,792694
1371,786427
1372,262240
1373,846395
1374,922627
1375,868871
1376,1011647
1377,150972
1378,893077
1379,22179
1380,761956
1381,8265
1382,351380
1383,968735
1384,1003921
1385,821227
1386,918588
1387,471227
1388,1019096
1389,904657
1390,770818
1391,233542
1392,124343
1393,798906
1394,337424
1395,297339
1396,863090
1397,403513
1398,401189
1399,942048
1400,97792
1401,406280
1402,476975
1403,292683
1404,570087
1405,210687
1406,484060
1407,80740
1408,378545
1409,893679
1410,415010
1411,219046
1412,37090
1413,189574
1414,942440
1415,317425
1416,716143
1417,989778
1418,713576
1419,695559
1420,270508
1421,50234
1422,443773
1423,80462
1424,911205
1425,714753
1426,548642
1427,163307
1428,220126
1429,1005010
1430,573920
1431,998559
1432,492063
1433,893962
1434,398161
1435,978174
1436,371716
1437,267637
1438,931327
1439,894110
1440,157430
1441,307153
1442,43955
1443,779299
1444,450853
1445,926511
1446,983342
1447,861477
1448,588303
1449,888278
1450,42940
1451,647220
1452,774613
1453,834969
1454,931569
1455,819391
1456,194066
1457,39309
1458,989541
1459,20656
1460,450318
1461,744141
1462,27439
1463,39725
1464,309442
1465,416678
1466,177064
1467,949666
1468,1005413
1469,866304
1470,653238
1471,930106
1472,951731
1473,593985
1474,409703
1475,907870
1476,308694
1477,358468
1478,267958
1479,37065
1480,543421
1481,513239
1482,800805
1483,465978
1484,757985
1485,156267
1486,434913
1487,119027
1488,504925
1489,449058
1490,478392
1491,133029
1492,928053
1493,748514
1494,822434
1495,310704
1496,951066
1497,496272
1498,238536
1499,74166
1500,986265
1501,280832
1502,426198
1503,486346
1504,37644
1505,724457
1506,429585
1507,751802
1508,321586
1509,156097
1510,893019
1511,946271
1512,960719
1513,757219
1514,682617
1515,427437
1516,262187
1517,659234
1518,891018
1519,219893
1520,267326
1521,149386
1522,864033
1523,45391
1524,699400
1525,677137
1526,699951
1527,835139
1528,563330
1529,955705
1530,956819
1531,457671
1532,684210
1533,506256
1534,967991
1535,772636
1536,553090
1537,854856
1538,326842
1539,283587
1540,832451
1541,913827
1542,832233
1543,16017
1544,347222
1545,678716
1546,527721
1547,695541
1548,874044
1549,329932
1550,738533
1551,487061
1552,849599
1553,536630
1554,158885
1555,588669
1556,908217
1557,403845
1558,1007290
1559,109316
1560,853233
1561,327925
1562,141717
1563,305670
1564,727222
1565,52451
1566,632510
1567,282139
1568,601639
1569,493134
1570,223606
1571,794866
1572,776003
1573,739654
1574,955863
1575,817533
1576,970076
1577,170388
1578,308564
1579,157199
1580,180618
1581,612119
1582,306320
1583,45945
1584,90905
1585,774396
1586,368354
1587,237146
1588,175601
1589,33229
1590,63416
1591,638193
1592,720391
1593,926364
1594,548863
1595,281645
1596,484159
1597,129006
1598,139400
1599,147564
1600,11707
1601,401948
1602,382852
1603,635568
1604,904889
1605,168814
1606,248970
1607,129697
1608,38769
1609,570144
1610,680470
1611,830077
1612,787166
1613,773170
1614,57804
1615,560036
1616,539311
1617,964335
1618,702394
1619,115858
1620,862583
1621,446885
1622,666035
1623,686255
1624,727615
1625,930036
1626,155658
1627,369851
1628,889388
1629,605505
1630,874482
1631,716912
1632,472276
1633,861033
1634,149088
1635,1020267
1636,57095
1637,1012037
1638,737729
1639,677123
1640,861631
1641,365852
1642,601279
1643,587814
1644,165828
1645,635177
1646,110081
1647,3421
1648,830445
1649,879494
1650,907982
1651,697296
1652,686382
1653,233919
1654,980699
1655,871800
1656,971024
1657,461211
1658,467575
1659,932490
1660,951617
1661,470367
1662,556904
1663,179423
1664,262450
1665,444210
1666,223514
1667,197935
1668,597724
1669,88935
1670,280586
1671,530237
1672,400656
1673,753557
1674,516377
1675,569403
1676,211136
1677,894250
1678,708359
1679,768638
1680,699753
1681,593953
1682,334815
1683,22165
1684,341919
1685,887959
1686,406163
1687,443005
1688,154515
1689,581286
1690,161043
1691,169321
1692,235799
1693,916454
1694,572699
1695,28658
1696,546297
1697,660517
1698,702533
1699,1005280
1700,350822
1701,280459
1702,1018684
1703,851018
1704,385556
1705,391531
1706,653613
1707,888015
1708,140533
1709,405009
1710,200065
1711,11256
1712,89144
1713,362692
1714,273788
1715,230163
1716,80605
1717,693503
1718,619543
1719,562507
1720,801829
1721,181747
1722,466291
1723,279468
1724,180566
1725,519388
1726,531250
1727,362062
1728,297824
1729,106337
1730,452703
1731,274748
1732,910332
1733,598841
1734,868826
1735,114454
1736,135087
1737,557412
1738,763436
1739,741176
1740,334269
1741,151099
1742,484933
1743,325900
1744,58857
1745,345865
1746,462861
1747,377124
1748,174391
1749,902859
1750,216054
1751,741437
1752,302578
1753,348062
1754,1004022
1755,117025
1756,669948
1757,868191
1758,359308
1759,329239
1760,904355
1761,902833
1762,559650
1763,731601
1764,605463
1765,583933
1766,588110
1767,284739
1768,1014279
1769,431452
1770,760225
1771,621801
1772,721791
1773,367649
1774,974501
1775,1021633
1776,272847
1777,323103
1778,904423
1779,1014705
1780,799841
1781,946549
1782,217556
1783,74724
1784,829783
1785,866275
1786,91771
1787,166515
1788,782657
1789,975407
1790,243744
1791,976702
1792,579543
1793,338476
1794,726336
1795,286689
1796,338199
1797,393384
1798,227577
1799,51290
1800,418508
1801,384252
1802,696181
1803,454386
1804,375182
1805,472057
1806,55625
1807,736542
1808,237732
1809,849690
1810,127262
1811,273027
1812,653816
1813,351808
1814,118591
1815,84162
1816,258862
1817,337516
1818,60773
1819,506977
1820,771260
1821,289687
1822,622136
1823,1018433
1824,310870
1825,899117
1826,713738
1827,926616
1828,14751
1829,320120
1830,635786
1831,540362
1832,152716
1833,220607
1834,420282
1835,801861
1836,189755
1837,270002
1838,273995
1839,382762
1840,394686
1841,580383
1842,375274
1843,212681
1844,12725
1845,927735
1846,42512
1847,589498
1848,586890
1849,666091
1850,400394
1851,711192
1852,15538
1853,803747
1854,368229
1855,83117
1856,457812
1857,568714
1858,756904
1859,131364
1860,446060
1861,552499
1862,535173
1863,339330
1864,1786
1865,136841
1866,318546
1867,251879
1868,835405
1869,517879
1870,26378
1871,171216
1872,134960
1873,897382
1874,1015182
1875,516614
1876,461712
1877,788596
1878,173474
1879,570270
1880,840927
1881,367689
1882,639460
1883,390744
1884,696078
1885,490596
1886,402103
1887,645527
1888,940709
1889,965460
1890,149649
1891,775657
1892,1014212
1893,526991
1894,28582
1895,940655
1896,308097
1897,646895
1898,125312
1899,701893
1900,808032
1901,8304
1902,9679
1903,827369
1904,455585
1905,74599
1906,603567
1907,346791
1908,536607
1909,1017473
1910,4745
1911,349645
1912,119733
1913,443484
1914,554630
1915,584193
1916,390110
1917,670219
1918,299419
1919,527591
1920,620487
1921,363020
1922,498601
1923,411122
1924,691514
1925,955539
1926,947670
1927,12758
1928,127191
1929,21445
1930,984400
1931,769520
1932,944959
1933,894374
1934,77553
1935,414726
1936,624193
1937,689895
1938,170131
1939,847588
1940,23255
1941,962904
1942,849653
1943,564496
1944,130336
1945,428492
1946,851740
1947,632287
1948,14779
1949,316546
1950,991166
1951,865622
1952,718960
1953,449735
1954,973134
1955,535589
1956,885563
1957,69826
1958,324507
1959,715439
1960,91409
1961,232095
1962,528699
1963,188769
1964,281991
1965,629754
1966,176368
1967,180472
1968,734257
1969,226302
1970,36854
1971,409266
1972,150123
1973,709483
1974,936859
1975,818252
1976,499310
1977,1017973
1978,719526
1979,795434
1980,407986
1981,802508
1982,550656
1983,445843
1984,282431
1985,174841
1986,877562
1987,598042
1988,523331
1989,88323
1990,688572
1991,477107
1992,62919
1993,325314
1994,408891
1995,265937
1996,316860
1997,53940
1998,524492
1999,752321
2000,46008
2001,1009148
2002,965618
2003,1008558
2004,841748
2005,377379
2006,463411
2007,251672
2008,892884
2009,171500
2010,873631
2011,688891
2012,404906
2013,717386
2014,968742
2015,530281
2016,238444
2017,306589
2018,471926
2019,336458
2020,935558
2021,772137
2022,343012
2023,793247
2024,167568
2025,514316
2026,323993
2027,536855
2028,881797
2029,186127
2030,898565
2031,958699
2032,151105
2033,705311
2034,457545
2035,186669
2036,265093
2037,459915
2038,787485
2039,731092
2040,648103
2041,329128
2042,905163
2043,647589
2044,619036
2045,744814
2046,381721
2047,601354
2048,488655
2049,253941
2050,521714
2051,834618
2052,761611
2053,12001
2054,1015375
2055,637267
2056,454031
2057,462101
2058,198558
2059,650649
2060,539040
2061,601933
2062,123314
2063,169610
2064,858591
2065,735214
2066,583640
2067,487733
2068,840571
2069,491383
2070,10029
2071,631866
2072,508753
2073,836727
2074,541231
2075,547433
2076,333835
2077,234945
2078,863208
2079,329949
2080,902665
2081,417506
2082,792755
2083,298541
2084,605337
2085,259690
2086,649890
2087,559590
2088,961651
2089,623591
2090,47804
2091,709306
2092,683022
2093,269281
2094,945901
2095,803257
2096,440700
2097,833532
2098,417413
2099,87632
2100,95416
2101,930786
2102,541299
2103,332523
2104,507787
2105,479651
2106,334801
2107,859949
2108,102524
2109,43747
2110,366402
2111,876158
2112,835801
2113,102162
2114,223710
2115,708985
2116,30469
2117,265589
2118,657149
2119,615466
2120,790701
2121,332635
2122,880244
2123,582729
2124,94582
2125,927598
2126,1010322
2127,804279
2128,749748
2129,750583
2130,726423
2131,221635
2132,146721
2133,796792
2134,244435
2135,357093
2136,74752
2137,411419
2138,483052
2139,374977
2140,557813
2141,522703
2142,642357
2143,611429
2144,781956
2145,763631
2146,500410
2147,724326
2148,815471
2149,743414
2150,890380
2151,899296
2152,609809
2153,305039
2154,1000845
2155,770173
2156,60530
2157,384214
2158,988855
2159,70469
2160,707426
2161,972111
2162,756825
2163,123326
2164,170453
2165,627865
2166,825383
2167,569949
2168,384202
2169,151944
2170,172597
2171,339027
2172,465260
2173,500203
2174,388534
2175,288205
2176,990957
2177,490338
2178,486336
2179,741946
2180,365605
2181,799035
2182,209073
2183,600901
2184,462570
2185,417276
2186,363952
2187,386152
2188,577655
2189,430709
2190,825965
2191,752181
2192,315247
2193,477989
2194,535781
2195,387362
2196,658268
2197,343707
2198,21905
2199,800179
2200,799179
2201,599630
2202,980286
2203,99833
2204,224928
2205,490803
2206,328055
2207,218850
2208,904702
2209,228140
2210,813711
2211,958552
2212,519430
2213,516718
2214,70192
2215,257870
2216,14876
2217,252646
2218,147805
2219,7311
2220,934080
2221,17294
2222,429600
2223,969732
2224,307492
2225,363614
2226,216175
2227,821678
2228,646891
2229,8973
2230,301261
2231,95127
2232,908033
2233,11861
2234,225607
2235,977199
2236,65093
2237,115425
2238,747658
2239,337954
2240,887772
2241,631585
2242,245685
2243,145086
2244,660224
2245,246935
2246,768042
2247,326419
2248,698802
2249,254227
2250,353520
2251,646039
2252,557939
2253,243097
2254,966571
2255,747697
2256,74058
2257,538929
2258,838624
2259,297909
2260,755866
2261,856743
2262,926639
2263,624782
2264,990407
2265,68084
2266,753715
2267,523488
2268,66484
2269,234070
2270,9664
2271,876627
2272,924661
2273,1233
2274,569052
2275,867899
2276,922042
2277,226943
2278,965430
2279,43847
2280,125873
2281,914702
2282,758808
2283,905005
2284,882466
2285,13995
2286,192519
2287,125372
2288,659808
2289,207670
2290,426974
2291,681536
2292,554394
2293,177855
2294,501192
2295,475841
2296,735166
2297,309690
2298,445971
2299,1019280
2300,313370
2301,516480
2302,932295
2303,345317
2304,431440
2305,155718
2306,809072
2307,600190
2308,103240
2309,604280
2310,722422
2311,852812
2312,150140
2313,115278
2314,842087
2315,936250
2316,121467
2317,611245
2318,887349
2319,100995
2320,1013872
2321,799361
2322,566031
2323,650231
2324,145507
2325,404606
2326,853791
2327,21696
2328,952479
2329,269629
2330,839324
2331,344237
2332,320236
2333,378622
2334,142809
2335,512281
2336,718955
2337,770919
2338,252202
2339,969769
2340,936900
2341,404104
2342,706855
2343,1002106
2344,556651
2345,93495
2346,367819
2347,729987
2348,566947
2349,410492
2350,919251
2351,487711
2352,953890
2353,6117
2354,118460
2355,249018
2356,462568
2357,50495
2358,985757
2359,624095
2360,367430
2361,62145
2362,1002825
2363,691939
2364,216040
2365,89416
2366,880339
2367,293686
2368,279456
2369,819241
2370,395025
2371,420571
2372,320548
2373,486317
2374,280941
2375,675542
2376,533186
2377,460359
2378,983843
2379,474393
2380,708103
2381,596012
2382,879114
2383,309734
2384,96462
2385,592212
2386,160054
2387,299484
2388,1009501
2389,412474
2390,866129
2391,889364
2392,336605
2393,238977
2394,1000230
2395,713903
2396,702236
2397,540055
2398,378958
2399,387185
2400,881650
2401,714800
2402,26341
2403,626521
2404,439847
2405,194947
2406,359951
2407,249016
2408,554573
2409,138785
2410,559053
2411,912254
2412,505311
2413,132368
2414,704451
2415,88740
2416,152512
2417,140965
2418,997183
2419,584478
2420,511332
2421,778927
2422,977652
2423,245733
2424,290649
2425,671623
2426,656111
2427,839617
2428,276981
2429,715434
2430,712871
2431,541054
2432,561887
2433,278403
2434,832834
2435,312782
2436,222527
2437,716821
2438,280606
2439,340016
2440,288371
2441,466479
2442,309470
2443,755577
2444,323816
2445,78402
2446,806448
2447,686385
2448,754572
2449,356786
2450,968405
2451,349680
2452,831704
2453,342954
2454,174764
2455,447925
2456,2474
2457,444950
2458,372955
2459,105730
2460,126204
2461,633473
2462,993820
2463,395227
2464,548458
2465,664707
2466,31232
2467,908197
2468,586377
2469,336842
2470,99861
2471,999159
2472,456426
2473,342805
2474,657329
2475,215302
2476,688490
2477,820662
2478,431941
2479,422816
2480,173463
2481,387802
2482,445503
2483,128297
2484,788356
2485,1011458
2486,954778
2487,170914
2488,105497
